Timestamp (seconds),system activated, Acceleration in X (Gs),Acceleration in Y (Gs), Altitude (meters),Acceleration in X filtered by KF (Gs),Acceleration in Y filtered by KF (Gs),Acceleration in Z filtered by KF (Gs),Roll (degrees),Pitch (degrees),Yaw (degrees),Event type,level
7.04,1,0.046,0.007,0.019,0.016,-0.002,0.018,-1.522,0.012,0.012,0,0
7.14,1,0.052,-0.016,0.027,0.037,-0.005,0.018,-1.52,0.014,0.011,0,0
7.24,1,0.015,-0.016,0.026,0.038,-0.009,0.024,-1.523,0.014,0.011,0,0
7.34,1,-0.014,-0.017,0.04,0.012,-0.016,0.032,-1.525,0.012,0.011,0,0
7.44,1,-0.007,-0.01,0.015,-0.002,-0.006,0.028,-1.525,0.012,0.012,0,0
7.54,1,0.007,-0.026,0.027,0,-0.024,0.022,-1.527,0.019,0.013,0,0
7.64,1,-0.006,-0.021,0.016,-0.002,-0.023,0.022,-1.528,0.018,0.013,0,0
7.74,1,-0.009,-0.063,0.032,-0.006,-0.037,0.021,-1.528,0.016,0.014,0,0
7.85,1,-0.01,-0.047,0.023,-0.008,-0.044,0.027,-1.527,0.016,0.016,0,0
7.95,1,0.015,-0.043,0.02,0.001,-0.047,0.024,-1.526,0.017,0.017,0,0
8.04,1,-0.028,-0.025,0.012,-0.006,-0.042,0.018,-1.528,0.018,0.018,0,0
8.14,1,-0.016,-0.029,0.008,-0.015,-0.031,0.011,-1.529,0.023,0.019,0,0
8.24,1,0.014,-0.006,0.016,-0.009,-0.012,0.016,-1.531,0.022,0.02,0,0
8.34,1,0.026,0.009,0.015,0.013,-0.013,0.013,-1.531,0.019,0.021,0,0
8.44,1,0.036,0.003,0.011,0.029,0.004,0.014,-1.531,0.018,0.022,0,0
8.54,1,-0.061,-0.005,-0.03,-0.002,0.003,-0.004,-1.531,0.024,0.022,0,0
8.64,1,0.015,0.02,0.014,-0.007,0.008,-0.004,-1.532,0.025,0.022,0,0
8.74,1,-0.029,-0.032,0.014,-0.016,-0.001,0.015,-1.535,0.026,0.022,0,0
8.85,1,-0.032,0,0.022,-0.03,-0.015,0.008,-1.535,0.029,0.023,0,0
8.94,1,0.037,-0.043,0.025,-0.004,-0.025,0.021,-1.538,0.032,0.024,0,0
9.05,1,0.05,0,-0.028,0.032,-0.02,0,-1.535,0.032,0.025,0,0
9.14,1,-0.025,0.019,-0.014,0.012,0.005,-0.013,-1.533,0.03,0.024,0,0
9.24,1,-0.063,0.041,0.003,-0.029,0.021,-0.008,-1.534,0.028,0.024,0,0
9.34,1,-0.009,0.016,0.008,-0.032,0.021,0.004,-1.535,0.026,0.024,0,0
9.44,1,0.019,0.04,-0.015,-0.002,0.029,-0.002,-1.533,0.024,0.024,0,0
9.55,1,0.018,0.01,-0.021,0.012,0.025,-0.018,-1.529,0.022,0.024,0,0
9.65,1,0.033,-0.003,0.009,0.018,0.013,-0.005,-1.529,0.023,0.024,0,0
9.75,1,0.028,-0.02,-0.009,0.028,-0.005,-0.001,-1.527,0.023,0.024,0,0
9.85,1,0.029,-0.005,0,0.026,-0.012,-0.006,-1.523,0.022,0.025,0,0
9.95,1,0.003,-0.029,-0.014,0.021,-0.016,-0.006,-1.52,0.023,0.025,0,0
10.06,1,-0.017,-0.016,-0.021,-0.002,-0.017,-0.017,-1.518,0.025,0.027,0,0
10.15,1,-0.003,-0.005,0.021,-0.005,-0.016,0,-1.518,0.026,0.03,0,0
10.25,1,0.047,0.015,0.005,0.013,0,0.008,-1.516,0.026,0.031,0,0
10.35,1,0.062,0.025,0.008,0.043,0.009,0.002,-1.513,0.024,0.033,0,0
10.45,1,0.038,-0.01,-0.004,0.05,0.009,0.006,-1.511,0.025,0.034,0,0
10.55,1,-0.023,-0.034,0.018,0.013,-0.009,0.005,-1.512,0.029,0.035,0,0
10.65,1,-0.027,-0.028,0.037,-0.014,-0.024,0.022,-1.514,0.032,0.036,0,0
10.76,1,-0.033,-0.013,0.05,-0.021,-0.018,0.036,-1.518,0.035,0.037,0,0
10.86,1,0.045,0.026,0.045,0.004,0.001,0.044,-1.519,0.032,0.038,0,0
10.95,1,0.066,-0.018,0.038,0.039,-0.009,0.044,-1.517,0.03,0.039,0,0
11.05,1,0.043,0.005,0.007,0.049,0.005,0.025,-1.515,0.032,0.04,0,0
11.15,1,0.014,0.023,0.062,0.034,-0.004,0.036,-1.515,0.032,0.041,0,0
11.25,1,0.044,-0.093,0.058,0.029,-0.027,0.051,-1.513,0.03,0.042,0,0
11.35,1,-0.04,0.008,0.018,0.007,-0.028,0.042,-1.511,0.025,0.043,0,0
11.45,1,-0.076,0.005,0.019,-0.035,-0.003,0.019,-1.514,0.022,0.044,0,0
11.56,1,-0.078,0.018,0.079,-0.067,0.007,0.049,-1.518,0.02,0.044,0,0
11.65,1,-0.023,-0.001,0.063,-0.053,0.002,0.064,-1.523,0.022,0.046,0,0
11.75,1,0.014,0.001,0.066,-0.016,0.01,0.062,-1.529,0.022,0.047,0,0
11.85,1,0.056,0.017,0.071,0.025,0.006,0.065,-1.533,0.018,0.048,0,0
11.96,1,0.067,-0.009,0.045,0.037,0.004,0.059,-1.533,0.014,0.048,0,0
12.06,1,0.032,-0.051,0.071,0.053,-0.023,0.062,-1.534,0.017,0.049,0,0
12.15,1,0.02,-0.074,0.035,0.032,-0.051,0.058,-1.535,0.023,0.05,0,0
12.26,1,-0.009,-0.032,0.032,0.016,-0.052,0.036,-1.536,0.022,0.051,0,0
12.36,1,-0.043,-0.022,0.046,-0.015,-0.028,0.041,-1.542,0.018,0.052,0,0
12.46,1,-0.063,-0.008,0.034,-0.04,-0.022,0.04,-1.544,0.013,0.053,0,0
12.56,1,0.015,0.003,0.052,-0.018,-0.006,0.042,-1.548,0.013,0.055,0,0
12.66,1,-0.015,-0.02,0.047,-0.023,-0.01,0.05,-1.554,0.015,0.057,0,0
12.76,1,0.022,-0.02,0.031,0.01,-0.018,0.037,-1.555,0.019,0.058,0,0
12.86,1,0.026,-0.058,0.041,0.014,-0.031,0.042,-1.56,0.022,0.06,0,0
12.96,1,-0.002,-0.011,0.035,0.012,-0.025,0.037,-1.567,0.022,0.062,0,0
13.06,1,-0.005,-0.025,0.014,0.002,-0.032,0.025,-1.568,0.024,0.064,0,0
13.16,1,-0.002,-0.034,0.018,-0.004,-0.026,0.022,-1.569,0.025,0.067,0,0
13.26,1,-0.014,-0.032,0.026,-0.007,-0.036,0.023,-1.573,0.028,0.069,0,0
13.36,1,0,-0.006,0.022,-0.008,-0.016,0.021,-1.575,0.031,0.072,0,0
13.46,1,0.036,-0.011,0.031,0.009,-0.017,0.027,-1.576,0.034,0.075,0,0
13.56,1,0.02,-0.058,0.019,0.025,-0.026,0.025,-1.574,0.034,0.079,0,0
13.66,1,0.017,-0.074,0.029,0.02,-0.057,0.023,-1.574,0.033,0.082,0,0
13.76,1,0.004,-0.036,0.017,0.01,-0.052,0.024,-1.575,0.033,0.085,0,0
13.86,1,0.002,-0.012,0.014,0.012,-0.031,0.018,-1.576,0.039,0.087,0,0
13.96,1,0.022,0.066,0.037,0.01,0.009,0.024,-1.576,0.045,0.09,0,0
14.06,1,-0.011,0.017,0.019,0.007,0.036,0.028,-1.575,0.049,0.093,0,0
14.16,1,-0.033,-0.028,0.01,-0.013,-0.004,0.018,-1.575,0.054,0.096,0,0
14.26,1,-0.004,-0.052,0.032,-0.022,-0.035,0.023,-1.574,0.056,0.098,0,0
14.36,1,0.031,0.072,0.021,0.009,0.011,0.022,-1.573,0.055,0.098,0,0
14.47,1,0.043,0.052,0.013,0.024,0.052,0.018,-1.572,0.056,0.099,0,0
14.56,1,0.028,0.04,0.043,0.036,0.039,0.024,-1.572,0.056,0.1,0,0
14.67,1,0.033,0.011,0.024,0.033,0.031,0.033,-1.569,0.056,0.1,0,0
14.77,1,0.036,0.052,0.029,0.027,0.026,0.029,-1.567,0.056,0.101,0,0
14.87,1,-0.01,-0.009,0.02,0.019,0.02,0.025,-1.567,0.059,0.101,0,0
14.97,1,-0.057,0.023,0.033,-0.021,0.021,0.026,-1.574,0.054,0.101,0,0
15.07,1,-0.034,0.042,0.037,-0.037,0.026,0.032,-1.58,0.05,0.1,0,0
15.17,1,0.01,0.075,0.027,-0.015,0.051,0.032,-1.583,0.04,0.1,0,0
15.27,1,0.018,0.03,0.008,0.008,0.043,0.017,-1.583,0.034,0.1,0,0
15.37,1,-0.008,-0.022,0.016,0.004,0.021,0.017,-1.584,0.031,0.1,0,0
15.47,1,-0.017,-0.031,0.023,-0.009,-0.019,0.022,-1.586,0.03,0.101,0,0
15.57,1,-0.019,-0.011,0.014,-0.017,-0.017,0.018,-1.586,0.03,0.101,0,0
15.67,1,-0.03,-0.011,0.001,-0.021,-0.007,0.011,-1.586,0.03,0.101,0,0
15.77,1,-0.014,-0.013,0.024,-0.018,-0.01,0.011,-1.587,0.03,0.102,0,0
