Timestamp (seconds),system activated, Acceleration in X (Gs),Acceleration in Y (Gs), Altitude (meters),Acceleration in X filtered by KF (Gs),Acceleration in Y filtered by KF (Gs),Acceleration in Z filtered by KF (Gs),Roll (degrees),Pitch (degrees),Yaw (degrees),Event type,level
0.55,0,-0.039,-0.05,0.044,-0.023,-0.029,0.026,-1.527,-0.157,-0.211,0,0
0.55,0,-0.039,-0.05,0.044,-0.033,-0.042,0.037,-1.527,-0.157,-0.211,0,0
0.55,0,-0.039,-0.05,0.044,-0.037,-0.047,0.041,-1.527,-0.157,-0.211,0,0
0.56,0,-0.021,-0.05,0.049,-0.033,-0.049,0.044,-1.527,-0.157,-0.211,0,0
0.6,0,0.011,-0.031,0.058,-0.015,-0.046,0.05,-1.528,-0.157,-0.213,0,0
0.7,0,0.006,0.013,0.034,0.008,-0.012,0.046,-1.528,-0.16,-0.225,0,0
0.8,0,-0.029,0.025,0.007,-0.008,0.001,0.028,-1.528,-0.166,-0.24,0,0
0.9,0,-0.027,0.005,-0.018,-0.017,0.004,0.011,-1.529,-0.172,-0.256,0,0
1,0,-0.077,0.079,0.005,-0.048,0.044,-0.008,-1.537,-0.174,-0.272,0,0
1.1,0,-0.083,0.034,0.042,-0.075,0.057,0.019,-1.547,-0.171,-0.287,0,0
1.2,0,-0.11,0.058,0.058,-0.087,0.045,0.043,-1.557,-0.169,-0.303,0,0
1.3,0,-0.01,0.003,0.05,-0.061,0.028,0.046,-1.562,-0.166,-0.32,0,0
1.4,0,0,-0.022,0.044,-0.021,0.004,0.046,-1.572,-0.168,-0.337,0,0
1.5,0,-0.03,0.034,0.018,-0.022,0.009,0.033,-1.579,-0.174,-0.355,0,0
1.6,0,-0.035,0.053,0.017,-0.029,0.031,0.024,-1.583,-0.175,-0.372,0,0
1.7,0,-0.036,0.04,0.032,-0.033,0.041,0.026,-1.59,-0.178,-0.389,0,0
1.82,0,-0.046,0.041,0.026,-0.038,0.039,0.029,-1.601,-0.181,-0.407,0,0
1.9,0,-0.066,0.022,0.016,-0.052,0.035,0.022,-1.609,-0.183,-0.425,0,0
2,0,-0.088,0.001,0.017,-0.071,0.013,0.019,-1.617,-0.181,-0.442,0,0
2.1,0,-0.078,0.014,0.006,-0.075,0.017,0.016,-1.626,-0.184,-0.46,0,0
2.2,0,-0.066,0.036,0.009,-0.073,0.02,0.009,-1.636,-0.189,-0.477,0,0
2.3,0,-0.087,0.066,-0.004,-0.077,0.043,0.003,-1.647,-0.195,-0.497,0,0
2.4,0,-0.056,0.044,-0.003,-0.074,0.049,-0.002,-1.652,-0.199,-0.514,0,0
2.51,0,-0.057,0.046,-0.006,-0.053,0.047,-0.003,-1.658,-0.202,-0.533,0,0
2.6,0,-0.093,0.05,-0.031,-0.075,0.048,-0.014,-1.663,-0.205,-0.551,0,0
2.7,0,-0.092,0.075,-0.041,-0.089,0.063,-0.034,-1.668,-0.208,-0.571,0,0
